Region,Source,Year,Data,Unit
AB,Oil and Diesel,2010,13.2551,GW.h
AB,Hydro,2011,2036,GW.h
AB,Wind,2011,2372,GW.h
AB,Biomass,2011,1972.19,GW.h
AB,Solar,2011,0,GW.h
AB,Nuclear,2011,0,GW.h
AB,Coal,2011,38859,GW.h
AB,Natural Gas,2011,27803.1184,GW.h
AB,Oil and Diesel,2011,12.6996,GW.h
AB,Hydro,2012,2319,GW.h
AB,Wind,2012,2601,GW.h
AB,Biomass,2012,2089.11769,GW.h
AB,Solar,2012,0,GW.h
AB,Nuclear,2012,0,GW.h
AB,Coal,2012,38272,GW.h
AB,Natural Gas,2012,29783.5849,GW.h
AB,Oil and Diesel,2012,14.4671,GW.h
AB,Hydro,2013,2028,GW.h
AB,Wind,2013,3058,GW.h
AB,Biomass,2013,2250.1,GW.h
AB,Solar,2013,0,GW.h
AB,Nuclear,2013,0,GW.h
AB,Coal,2013,39186,GW.h
AB,Natural Gas,2013,31516.5018,GW.h
AB,Oil and Diesel,2013,13.4982,GW.h
AB,Hydro,2014,1861,GW.h
AB,Wind,2014,3519,GW.h
AB,Biomass,2014,2065.2,GW.h
AB,Solar,2014,0,GW.h
AB,Nuclear,2014,0,GW.h
AB,Coal,2014,44442,GW.h
AB,Natural Gas,2014,30900.8632,GW.h
AB,Oil and Diesel,2014,15.7747,GW.h
AB,Hydro,2015,1709,GW.h
AB,Wind,2015,4089,GW.h
AB,Biomass,2015,2148.5,GW.h
AB,Solar,2015,0,GW.h
AB,Nuclear,2015,0,GW.h
AB,Coal,2015,41378,GW.h
AB,Natural Gas,2015,32215,GW.h
AB,Oil and Diesel,2015,12.0262,GW.h
AB,Hydro,2016,2281.722,GW.h
AB,Wind,2016,5673.607,GW.h
AB,Biomass,2016,2201,GW.h
AB,Solar,2016,0,GW.h
AB,Nuclear,2016,0,GW.h
AB,Coal,2016,39000.372,GW.h
AB,Natural Gas,2016,33184,GW.h
AB,Oil and Diesel,2016,0,GW.h
SK,Hydro,2005,4573,GW.h
SK,Wind,2005,92,GW.h
SK,Biomass,2005,0,GW.h
SK,Solar,2005,0,GW.h
SK,Nuclear,2005,0,GW.h
SK,Coal,2005,13227,GW.h
SK,Natural Gas,2005,1827,GW.h
SK,Oil and Diesel,2005,17.9,GW.h
SK,Hydro,2006,4032,GW.h
SK,Wind,2006,573,GW.h
SK,Biomass,2006,0,GW.h
SK,Solar,2006,0,GW.h
SK,Nuclear,2006,0,GW.h
SK,Coal,2006,12804,GW.h
SK,Natural Gas,2006,2178,GW.h
SK,Oil and Diesel,2006,19.5,GW.h
SK,Hydro,2007,4393,GW.h
SK,Wind,2007,620,GW.h
SK,Biomass,2007,0,GW.h
SK,Solar,2007,0,GW.h
SK,Nuclear,2007,0,GW.h
SK,Coal,2007,13776,GW.h
SK,Natural Gas,2007,1800,GW.h
SK,Oil and Diesel,2007,25.9,GW.h
SK,Hydro,2008,4030,GW.h
SK,Wind,2008,574,GW.h
SK,Biomass,2008,0,GW.h
SK,Solar,2008,0,GW.h
SK,Nuclear,2008,0,GW.h
SK,Coal,2008,14127,GW.h
SK,Natural Gas,2008,3012,GW.h
SK,Oil and Diesel,2008,22.6,GW.h
SK,Hydro,2009,2962,GW.h
SK,Wind,2009,579,GW.h
SK,Biomass,2009,0,GW.h
SK,Solar,2009,0,GW.h
SK,Nuclear,2009,0,GW.h
SK,Coal,2009,14523,GW.h
SK,Natural Gas,2009,2687,GW.h
SK,Oil and Diesel,2009,17.9,GW.h
SK,Hydro,2010,3866,GW.h
SK,Wind,2010,507,GW.h
SK,Biomass,2010,0,GW.h
SK,Solar,2010,0,GW.h
SK,Nuclear,2010,0,GW.h
SK,Coal,2010,13577,GW.h
SK,Natural Gas,2010,2437,GW.h
SK,Oil and Diesel,2010,20.8,GW.h
SK,Hydro,2011,4641,GW.h
SK,Wind,2011,682,GW.h
SK,Biomass,2011,0,GW.h
SK,Solar,2011,0,GW.h
SK,Nuclear,2011,0,GW.h
SK,Coal,2011,13246,GW.h
SK,Natural Gas,2011,2614,GW.h
SK,Oil and Diesel,2011,12.3,GW.h
SK,Hydro,2012,4240,GW.h
SK,Wind,2012,655,GW.h
SK,Biomass,2012,0,GW.h
SK,Solar,2012,0,GW.h
SK,Nuclear,2012,0,GW.h
SK,Coal,2012,13144,GW.h
SK,Natural Gas,2012,3199,GW.h
SK,Oil and Diesel,2012,11.3,GW.h
SK,Hydro,2013,4449,GW.h
SK,Wind,2013,646,GW.h
SK,Biomass,2013,0,GW.h
SK,Solar,2013,0,GW.h
SK,Nuclear,2013,0,GW.h
SK,Coal,2013,13657,GW.h
SK,Natural Gas,2013,4415,GW.h
SK,Oil and Diesel,2013,15,GW.h
SK,Hydro,2014,4706,GW.h
SK,Wind,2014,636,GW.h
SK,Biomass,2014,0,GW.h
SK,Solar,2014,0,GW.h
SK,Nuclear,2014,0,GW.h
SK,Coal,2014,12794,GW.h
SK,Natural Gas,2014,5067,GW.h
SK,Oil and Diesel,2014,12,GW.h
SK,Hydro,2015,3425.358,GW.h
SK,Wind,2015,684,GW.h
SK,Biomass,2015,0,GW.h
SK,Solar,2015,0,GW.h
SK,Nuclear,2015,0,GW.h
SK,Coal,2015,12871,GW.h
SK,Natural Gas,2015,6498,GW.h
SK,Oil and Diesel,2015,16,GW.h
SK,Hydro,2016,3284.769,GW.h
SK,Wind,2016,730.283,GW.h
SK,Biomass,2016,151.6869,GW.h
SK,Solar,2016,0,GW.h
SK,Nuclear,2016,0,GW.h
SK,Coal,2016,12039.606,GW.h
SK,Natural Gas,2016,8220.887,GW.h
SK,Oil and Diesel,2016,0.405,GW.h
MB,Hydro,2005,36440,GW.h
MB,Wind,2005,53,GW.h
MB,Biomass,2005,0,GW.h
MB,Solar,2005,0,GW.h
MB,Nuclear,2005,0,GW.h
MB,Coal,2005,421.1,GW.h
MB,Natural Gas,2005,10.6,GW.h
MB,Oil and Diesel,2005,31.5,GW.h
MB,Hydro,2006,33651,GW.h
MB,Wind,2006,325,GW.h
MB,Biomass,2006,0,GW.h
MB,Solar,2006,0,GW.h
MB,Nuclear,2006,0,GW.h
MB,Coal,2006,323,GW.h
MB,Natural Gas,2006,51.4,GW.h
MB,Oil and Diesel,2006,40.7,GW.h
MB,Hydro,2007,33513,GW.h
MB,Wind,2007,325,GW.h
MB,Biomass,2007,0,GW.h
MB,Solar,2007,0,GW.h
MB,Nuclear,2007,0,GW.h
MB,Coal,2007,388.2,GW.h
MB,Natural Gas,2007,68.8,GW.h
MB,Oil and Diesel,2007,107.2,GW.h
MB,Hydro,2008,34588,GW.h
MB,Wind,2008,412,GW.h
MB,Biomass,2008,0,GW.h
MB,Solar,2008,0,GW.h
MB,Nuclear,2008,0,GW.h
MB,Coal,2008,387.4,GW.h
MB,Natural Gas,2008,20.6,GW.h
MB,Oil and Diesel,2008,115.3,GW.h
MB,Hydro,2009,33549,GW.h
MB,Wind,2009,365,GW.h
MB,Biomass,2009,0,GW.h
MB,Solar,2009,0,GW.h
MB,Nuclear,2009,0,GW.h
MB,Coal,2009,140.4,GW.h
MB,Natural Gas,2009,39.4,GW.h
MB,Oil and Diesel,2009,92.1,GW.h
MB,Hydro,2010,33269,GW.h
MB,Wind,2010,343,GW.h
MB,Biomass,2010,0,GW.h
MB,Solar,2010,0,GW.h
MB,Nuclear,2010,0,GW.h
MB,Coal,2010,44.4,GW.h
MB,Natural Gas,2010,22.9,GW.h
MB,Oil and Diesel,2010,77.6,GW.h
MB,Hydro,2011,34206,GW.h
MB,Wind,2011,747,GW.h
MB,Biomass,2011,0,GW.h
MB,Solar,2011,0,GW.h
MB,Nuclear,2011,0,GW.h
MB,Coal,2011,49.7,GW.h
MB,Natural Gas,2011,41.1,GW.h
MB,Oil and Diesel,2011,70.8,GW.h
MB,Hydro,2012,32185,GW.h
MB,Wind,2012,877,GW.h
MB,Biomass,2012,0,GW.h
MB,Solar,2012,0,GW.h
MB,Nuclear,2012,0,GW.h
MB,Coal,2012,51.5,GW.h
MB,Natural Gas,2012,40.8872,GW.h
MB,Oil and Diesel,2012,21.5,GW.h
MB,Hydro,2013,35337,GW.h
MB,Wind,2013,868,GW.h
MB,Biomass,2013,0,GW.h
MB,Solar,2013,0,GW.h
MB,Nuclear,2013,0,GW.h
MB,Coal,2013,65.4,GW.h
MB,Natural Gas,2013,23.9582,GW.h
MB,Oil and Diesel,2013,9.3,GW.h
MB,Hydro,2014,34495,GW.h
MB,Wind,2014,911,GW.h
